Producto,Rol,Modulo,Seccion,En_Menu,Ver,Crear,Editar,Eliminar,Aprobar,Exportar,Configurar,Virtual,Diferido
XISTI,desarrollador,cash-out-list,"Retiros (cash-out)",0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,coupon-deals,"Cupones / deals",0,0,0,0,0,0,0,0,0,1
XISTI,desarrollador,customer-list,Clientes,0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,dashboard,Dashboard,0,1,0,0,0,0,0,1,1,0
XISTI,desarrollador,driver-documents,"Documentos requeridos",0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,drivers-moderation,"Moderación de conductores",0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,earning-report,"Reporte de ganancias",0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,email-templates,"Plantillas de email",0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,geo-fencing-list,Geo-fencing,0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,gods-view,"God's View",0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,heat-map,"Mapa de calor",0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,pending-delivery-person-list,"Repartidores pendientes",0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,pending-provider-list,"Proveedores pendientes (legacy)",0,0,0,0,0,0,0,0,1,0
XISTI,desarrollador,pending-transport-provider-list,"Conductores pendientes",0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,promotions,Promociones,0,0,0,0,0,0,0,0,0,1
XISTI,desarrollador,push-notification,"Notificaciones push",1,1,0,0,0,0,0,1,0,0
XISTI,desarrollador,referral-history,Referidos,0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,report-issue,"Reportar problema",0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,ride-list,Viajes,0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,search-radius,"Radio de búsqueda",0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,security,Seguridad,0,1,0,0,0,0,0,1,1,0
XISTI,desarrollador,service-settings,"Configuración de servicio",0,0,0,0,0,0,0,0,0,0
XISTI,desarrollador,site-setting,"Configuración del sitio",1,1,0,0,0,0,0,1,0,0
XISTI,desarrollador,sos-list,SOS,0,0,0,0,0,0,0,0,0,0
